Classification,Clustering,Classifier_Accuracy,Clustering_Accuracy,constant_threshold,resampling,feature_selection_k
Kernel SVM (linear),KMeans,0.7259036144578314,0.7038152610441767,,False,128
Kernel SVM (poly),KMeans,0.7349397590361445,0.6355421686746988,,False,128
Kernel SVM (rbf),KMeans,0.7540160642570282,0.7058232931726908,,False,128
Kernel SVM (sigmoid),KMeans,0.7349397590361445,0.6275100401606425,,False,128
K Nearest Neighbors,KMeans,0.3614457831325301,0.3614457831325301,,False,256
Neural Network,KMeans,0.5271084337349398,0.5271084337349398,,False,256
Random Forest,KMeans,0.9809236947791163,0.9809236947791163,,False,256
Kernel SVM (linear),KMeans,0.641566265060241,0.641566265060241,,False,256
Kernel SVM (poly),KMeans,0.5421686746987951,0.5421686746987951,,False,256
Kernel SVM (rbf),KMeans,0.6345381526104418,0.6345381526104418,,False,256
Kernel SVM (sigmoid),KMeans,0.6656626506024096,0.6656626506024096,,False,256
K Nearest Neighbors,KMeans,0.572289156626506,0.572289156626506,,True,16
Neural Network,KMeans,0.5783132530120482,0.5783132530120482,,True,16
Random Forest,KMeans,0.9608433734939759,0.9608433734939759,,True,16
Kernel SVM (linear),KMeans,0.6114457831325302,0.5813253012048193,,True,16
Kernel SVM (poly),KMeans,0.7821285140562249,0.7821285140562249,,True,16
Kernel SVM (rbf),KMeans,0.6566265060240963,0.6566265060240963,,True,16
Kernel SVM (sigmoid),KMeans,0.6506024096385542,0.6506024096385542,,True,16
K Nearest Neighbors,KMeans,0.5813253012048193,0.5763052208835342,,True,32
Neural Network,KMeans,0.5572289156626505,0.5572289156626505,,True,32
Random Forest,KMeans,0.9497991967871485,0.9497991967871485,,True,32
Kernel SVM (linear),KMeans,0.7108433734939759,0.7108433734939759,,True,32
Kernel SVM (poly),KMeans,0.7891566265060241,0.7891566265060241,,True,32
Kernel SVM (rbf),KMeans,0.6767068273092369,0.642570281124498,,True,32
Kernel SVM (sigmoid),KMeans,0.6827309236947792,0.6475903614457832,,True,32
K Nearest Neighbors,KMeans,0.3795180722891566,0.3744979919678715,,True,64
Neural Network,KMeans,0.43674698795180716,0.4236947791164658,,True,64
Random Forest,KMeans,0.9206827309236948,0.9206827309236948,,True,64
Kernel SVM (linear),KMeans,0.714859437751004,0.714859437751004,,True,64
Kernel SVM (poly),KMeans,0.6626506024096386,0.6626506024096386,,True,64
Kernel SVM (rbf),KMeans,0.5190763052208835,0.5190763052208835,,True,64
Kernel SVM (sigmoid),KMeans,0.5853413654618473,0.5853413654618473,,True,64
K Nearest Neighbors,KMeans,0.35843373493975905,0.35542168674698793,,True,128
Neural Network,KMeans,0.503012048192771,0.503012048192771,,True,128
Random Forest,KMeans,0.9789156626506023,0.9789156626506023,,True,128
Kernel SVM (linear),KMeans,0.5180722891566265,0.5180722891566265,,True,128
Kernel SVM (poly),KMeans,0.5070281124497992,0.5070281124497992,,True,128
Kernel SVM (rbf),KMeans,0.5682730923694779,0.5682730923694779,,True,128
Kernel SVM (sigmoid),KMeans,0.5753012048192772,0.5753012048192772,,True,128
K Nearest Neighbors,KMeans,0.35542168674698793,0.35542168674698793,,True,256
Neural Network,KMeans,0.4618473895582329,0.46084337349397586,,True,256
Random Forest,KMeans,0.9708835341365463,0.9708835341365463,,True,256
Kernel SVM (linear),KMeans,0.5050200803212851,0.5050200803212851,,True,256
Kernel SVM (poly),KMeans,0.4467871485943775,0.4467871485943775,,True,256
Kernel SVM (rbf),KMeans,0.4969879518072289,0.4969879518072289,,True,256
Kernel SVM (sigmoid),KMeans,0.49297188755020077,0.49297188755020077,,True,256
K Nearest Neighbors,KMeans,0.641566265060241,0.5963855421686747,,False,16
Neural Network,KMeans,0.5291164658634538,0.5180722891566265,,False,16
Random Forest,KMeans,0.9176706827309237,0.9176706827309237,,False,16
Kernel SVM (linear),KMeans,0.6957831325301204,0.5883534136546185,,False,16
Kernel SVM (poly),KMeans,0.8002008032128515,0.8002008032128515,,False,16
Kernel SVM (rbf),KMeans,0.6455823293172691,0.5371485943775101,,False,16
Kernel SVM (sigmoid),KMeans,0.7359437751004015,0.6285140562248995,,False,16
K Nearest Neighbors,KMeans,0.5240963855421686,0.501004016064257,,False,32
Neural Network,KMeans,0.5923694779116465,0.5923694779116465,,False,32
Random Forest,KMeans,0.9457831325301204,0.9457831325301204,,False,32
Kernel SVM (linear),KMeans,0.7238955823293173,0.6716867469879518,,False,32
Kernel SVM (poly),KMeans,0.7540160642570282,0.7540160642570282,,False,32
Kernel SVM (rbf),KMeans,0.7198795180722891,0.5783132530120483,,False,32
Kernel SVM (sigmoid),KMeans,0.7550200803212852,0.7550200803212852,,False,32
K Nearest Neighbors,KMeans,0.4457831325301205,0.43373493975903615,,False,64
Neural Network,KMeans,0.5933734939759036,0.5933734939759036,,False,64
Random Forest,KMeans,0.9588353413654618,0.9588353413654618,,False,64
Kernel SVM (linear),KMeans,0.7188755020080322,0.6736947791164658,,False,64
Kernel SVM (poly),KMeans,0.7379518072289156,0.7379518072289156,,False,64
Kernel SVM (rbf),KMeans,0.7299196787148595,0.7299196787148595,,False,64
Kernel SVM (sigmoid),KMeans,0.714859437751004,0.714859437751004,,False,64
K Nearest Neighbors,KMeans,0.3614457831325301,0.35843373493975905,,False,128
Neural Network,KMeans,0.5662650602409639,0.5662650602409639,,False,128
Random Forest,KMeans,0.9759036144578314,0.9759036144578314,,False,128
Kernel SVM (linear),KMeans,0.7098393574297188,0.7098393574297188,,False,128
Kernel SVM (poly),KMeans,0.7178714859437751,0.7178714859437751,,False,128
Kernel SVM (rbf),KMeans,0.7389558232931727,0.7339357429718875,,False,128
Kernel SVM (sigmoid),KMeans,0.6987951807228915,0.6556224899598394,,False,128
K Nearest Neighbors,KMeans,0.35843373493975905,0.35843373493975905,,False,256
Neural Network,KMeans,0.570281124497992,0.570281124497992,,False,256
Random Forest,KMeans,0.9829317269076304,0.9829317269076304,,False,256
Kernel SVM (linear),KMeans,0.572289156626506,0.572289156626506,,False,256
Kernel SVM (poly),KMeans,0.5060240963855421,0.5060240963855421,,False,256
Kernel SVM (rbf),KMeans,0.5903614457831325,0.5903614457831325,,False,256
Kernel SVM (sigmoid),KMeans,0.5692771084337349,0.5692771084337349,,False,256
K Nearest Neighbors,KMeans,0.6957831325301204,0.6957831325301204,,True,16
Neural Network,KMeans,0.5050200803212852,0.5030120481927711,,True,16
